club,nation,league,name,rating,position,price,card_types
Spurs,Korea Republic,Premier League,Heung Min Son,89,LM,752.2K,potm_epl gold rare
Chelsea,France,Premier League,N'Golo Kanté,89,CDM,523K,if gold rare
Real Sociedad,Spain,LaLiga Santander,David Silva,89,CAM,121K,bluered gold rare
Manchester City,England,Premier League,Raheem Sterling,89,LW,216K,ucl_tott gold rare
FUT 21 ICONS,England,Icons,David Beckham,89,RM,461K,icon gold rare
Real Madrid,Germany,LaLiga Santander,Toni Kroos,89,CM,86K,if gold rare
Piemonte Calcio,Italy,Serie A TIM,Giorgio Chiellini,89,CDM,309K,futmas gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,89,ST,78K,if gold rare
Inter,Slovenia,Serie A TIM,Samir Handanovic,89,GK,148K,if gold rare
Liverpool,Brazil,Premier League,Roberto Firmino,89,CM,957.9K,futmas gold rare
AS Monaco,France,Ligue 1 Conforama,Wissam Ben Yedder,89,ST,1.55M,headliners_2 gold rare
Spurs,Korea Republic,Premier League,Heung Min Son,89,LM,1.05M,headliners gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,89,ST,561K,headliners gold rare
RC Celta,Spain,LaLiga Santander,Iago Aspas,89,ST,130.35K,potm_laliga gold rare
FC Barcelona,France,LaLiga Santander,Antoine Griezmann,89,LW,184K,if gold rare
Paris SG,Costa Rica,Ligue 1 Conforama,Keylor Navas,89,GK,94.5K,if gold rare
Paris SG,Brazil,Ligue 1 Conforama,Marquinhos,89,CB,175K,toty_nominee gold rare
Spurs,Netherlands,Premier League,Steven Bergwijn,89,LM,896K,future_stars gold rare
Leverkusen,Burkina Faso,Bundesliga,Tapsoba,89,CB,638K,future_stars gold rare
FUT 21 ICONS,Italy,Icons,Christian Vieri,88,ST,143K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Roberto Carlos,88,LB,910K,icon gold rare
FUT 21 ICONS,Italy,Icons,Paolo Maldini,88,LB,979K,icon gold rare
FUT 21 ICONS,France,Icons,Patrick Vieira,88,CM,3.8M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marc Overmars,88,LW,300K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Juan Sebastián Verón,88,CM,317K,icon gold rare
FUT 21 ICONS,England,Icons,Rio Ferdinand,88,CB,890K,icon gold rare
FUT 21 ICONS,France,Icons,Emmanuel Petit,88,CDM,715K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Patrick Kluivert,88,ST,200K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Rui Manuel César Costa,88,CAM,192K,icon gold rare
FUT 21 ICONS,Germany,Icons,Lothar Matthäus,88,CB,1.41M,icon gold rare
FUT 21 ICONS,Northern Ireland,Icons,George Best,88,RW,1.38M,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Nesta,88,CB,240K,icon gold rare
FUT 21 ICONS,France,Icons,Robert Pirès,88,LM,155K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Luís Figo,88,CAM,623K,icon gold rare
FUT 21 ICONS,England,Icons,Michael Owen,88,ST,295K,icon gold rare
